,name,dst_cm_B1,dst_cm_B2,dst_cm_C,dst_cm_D1,dst_cm_D2,dst_cm_E1,dst_cm_E2,time_B1,time_B2,time_C,time_D1,time_D2,time_E1,time_E2,sharps_B1,sharps_B2,sharps_C,sharps_D1,sharps_D2,sharps_E1,sharps_E2,speed_cms_mean,speed_cms_max,wall_hit_B1B2,wall_hit_B2C,wall_hit_CD1,wall_hit_D1D2,wall_hit_CE1,wall_hit_E1E2,dirs_1_B1,dirs_2_B1,dirs_3_B1,dirs_4_B1,dirs_5_B1,dirs_6_B1,dirs_7_B1,dirs_8_B1,dirs_1_B2,dirs_2_B2,dirs_3_B2,dirs_4_B2,dirs_5_B2,dirs_6_B2,dirs_7_B2,dirs_8_B2,dirs_1_C,dirs_2_C,dirs_3_C,dirs_4_C,dirs_5_C,dirs_6_C,dirs_7_C,dirs_8_C,dirs_1_D1,dirs_2_D1,dirs_3_D1,dirs_4_D1,dirs_5_D1,dirs_6_D1,dirs_7_D1,dirs_8_D1,dirs_1_D2,dirs_2_D2,dirs_3_D2,dirs_4_D2,dirs_5_D2,dirs_6_D2,dirs_7_D2,dirs_8_D2,dirs_1_E1,dirs_2_E1,dirs_3_E1,dirs_4_E1,dirs_5_E1,dirs_6_E1,dirs_7_E1,dirs_8_E1,dirs_1_E2,dirs_2_E2,dirs_3_E2,dirs_4_E2,dirs_5_E2,dirs_6_E2,dirs_7_E2,dirs_8_E2
56,Trial57,20.65,5.96,8.03,6.69,0.94,7.07,0.0,160.03,31.82,39.65,25.13,25.44,26.44,0.0,90.15,16.57,20.27,12.86,14.79,12.43,0.0,0.16,0.71,42,4,5,2,1,0,88.01,0.86,1.52,0.98,1.41,0.81,1.38,0.89,16.09,0.26,0.39,0.24,1.02,0.32,0.53,0.21,19.3,0.4,0.48,0.48,1.13,0.45,0.97,0.54,12.23,0.28,0.37,0.31,0.99,0.2,0.32,0.35,14.73,0.04,0.08,0.01,0.14,0.09,0.13,0.02,11.78,0.18,0.43,0.27,1.11,0.32,1.29,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Trial58,19.54,35.66,10.87,6.36,0.0,33.83,1.75,70.43,124.36,23.92,12.12,0.0,96.63,7.05,38.22,64.64,10.06,5.12,0.0,42.97,3.26,0.32,1.18,167,7,4,0,9,2,37.08,0.36,0.8,0.81,0.8,0.6,1.13,0.61,61.05,1.69,2.25,1.47,2.86,1.2,2.39,1.58,8.64,0.77,0.97,0.6,1.15,0.73,0.93,0.54,4.38,0.4,0.45,0.25,0.98,0.22,0.26,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.64,2.11,4.79,1.68,2.51,1.67,4.71,1.77,3.0,0.15,0.35,0.07,0.09,0.09,0.38,0.09
58,Trial59,0.0,0.0,21.24,19.92,0.0,32.44,0.0,0.0,0.0,66.13,103.46,0.0,244.67,0.0,0.0,0.0,30.03,54.83,0.0,128.36,0.0,0.18,0.97,0,0,12,0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.54,0.69,2.27,1.4,2.3,0.73,3.01,1.67,52.81,0.89,1.15,0.81,3.74,0.53,0.94,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.03,1.97,6.24,1.06,3.15,1.82,6.22,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Trial60,0.51,8.23,10.62,11.31,6.61,26.21,13.5,1.35,46.74,35.11,35.19,29.05,98.73,163.91,0.57,24.27,16.45,16.92,14.27,45.34,91.97,0.19,0.8,2,8,4,16,6,15,0.54,0.02,0.04,0.01,0.12,0.02,0.05,0.01,23.64,0.29,0.68,0.34,1.53,0.38,0.81,0.33,15.3,0.41,1.47,0.54,1.11,0.44,1.1,0.66,15.75,0.58,0.67,0.71,2.12,0.3,0.38,0.57,13.58,0.3,0.62,0.2,0.82,0.5,1.05,0.33,42.82,1.38,4.92,0.98,2.12,1.65,4.31,0.96,90.71,0.72,1.78,0.52,2.17,0.6,1.21,0.47
60,Trial61,3.99,17.56,25.37,28.03,4.94,75.88,63.35,11.17,38.63,37.5,46.73,9.7,146.99,143.96,4.96,18.21,16.12,19.11,4.02,62.3,62.38,0.51,1.74,39,11,14,10,19,42,4.61,0.18,0.42,0.27,0.29,0.24,0.52,0.16,15.87,1.45,0.82,0.46,1.83,0.82,1.06,0.83,13.33,1.35,1.23,1.05,2.39,1.07,0.89,1.15,16.62,0.99,1.22,1.64,3.66,1.34,1.13,1.39,3.31,0.27,0.47,0.2,0.45,0.34,0.43,0.34,52.81,4.0,9.03,3.43,3.76,3.49,8.06,3.47,54.94,3.68,5.87,4.2,5.81,4.23,4.41,3.09
61,Trial62,0.0,0.0,4.76,33.38,3.31,57.66,31.68,0.0,0.0,20.48,104.31,7.71,181.2,80.47,0.0,0.0,10.21,47.15,3.39,87.48,38.47,0.33,1.23,0,0,5,14,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.63,0.06,0.45,0.33,0.57,0.09,0.66,0.48,43.77,1.72,3.62,1.98,5.37,1.51,3.02,1.49,2.89,0.18,0.34,0.28,0.21,0.1,0.37,0.25,79.48,3.56,5.86,2.55,4.55,2.64,6.28,3.62,34.2,1.7,2.96,1.47,2.39,1.15,2.2,2.13
62,Trial63,4.2,26.18,22.85,14.0,0.0,39.14,7.14,23.92,101.85,50.73,36.51,0.0,127.71,26.26,13.33,51.65,22.22,17.02,0.0,58.85,13.03,0.31,1.16,40,15,18,0,7,6,13.07,0.09,0.17,0.2,0.28,0.09,0.28,0.15,49.26,1.28,1.68,0.89,3.38,1.5,2.07,0.95,20.28,1.19,0.91,1.14,3.87,1.44,0.83,0.73,15.74,0.44,0.92,0.99,1.57,0.67,0.77,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.22,2.17,6.38,1.81,3.13,1.8,4.98,2.01,12.23,0.38,0.76,0.4,0.65,0.36,0.62,0.33
63,Trial64,0.0,0.0,0.75,6.43,2.55,2.43,0.82,0.0,0.0,0.57,228.3,8.71,1.65,0.77,0.0,0.0,0.02,132.88,3.77,0.33,0.2,0.05,1.82,0,0,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.26,0.04,0.0,0.01,0.0,132.56,0.08,0.59,0.48,2.14,0.17,0.48,0.25,3.43,0.09,0.28,0.12,0.31,0.28,0.47,0.24,0.02,0.21,0.62,0.05,0.06,0.0,0.03,0.0,0.05,0.08,0.15,0.08,0.05,0.02,0.02,0.01
64,Trial65,2.16,9.21,6.17,0.0,0.0,49.91,16.51,13.84,48.16,19.73,0.0,0.0,288.95,96.09,7.05,25.0,8.98,0.0,0.0,146.31,48.42,0.18,0.51,12,7,0,0,9,21,6.82,0.03,0.36,0.13,0.33,0.11,0.32,0.19,24.33,0.28,0.83,0.29,1.7,0.33,0.74,0.35,8.2,0.61,1.0,0.09,0.64,0.48,0.76,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.28,2.18,9.97,2.19,4.6,1.83,8.82,2.21,46.59,0.92,2.74,1.02,2.27,0.88,2.35,0.79
65,Trial66,3.59,20.52,5.56,27.97,25.15,26.37,0.84,18.71,73.96,12.64,128.05,63.54,58.95,14.69,9.84,36.95,5.98,67.57,31.26,27.0,8.45,0.3,1.94,36,4,3,42,5,1,9.53,0.17,0.34,0.19,0.33,0.16,0.37,0.12,34.47,1.33,1.51,0.96,2.23,1.09,1.71,1.0,5.12,0.37,0.4,0.2,0.47,0.24,0.29,0.48,63.88,1.53,2.08,1.37,2.47,1.58,1.9,1.89,28.72,1.15,1.86,0.94,1.5,1.15,1.73,1.01,23.53,1.35,1.68,1.22,1.68,1.49,2.71,1.65,8.41,0.0,0.12,0.01,0.03,0.03,0.2,0.0
